113.25,21
170.75,22.75
117,24.5
77,15
206,20
50,20
38,10
73.5,20.5
144,20
200,20
221,17
182,20
115.75,21
0,20
75,16
17.5,22
126.5,19.5
27,10
40,20
111,20
171,16.75
171,16.75
185,16
208.5,16
208.5,16
80,20
200,10
46,20
126,20
58,15
35,20
203,20
100,20
180,20
36,20
73,20
102,20
46,20
176,20
109,15
182,20
176,19
173,20
215,22
114,15
123,15
192,20
197,20
198,20
120,20
118,20
92,20
126,20
125,20
145,20
60,20
114,20
37,20
51,20
62,20
73,10
18,30
106,20
63,20
196,17
59,20
198,20
162,20
161,20
161,20
144,17
101,20
23,20
24,20
31,20
110,17
74,20
48,20
139,20
141,20
148,20
175,20
206,20
134,10
183,25
37,25
153,15
138,20
204,20
22,20
198,20
90,20
154,20
86,20
192,25
157,20
179,20
